[2025-12-25 18:17:22,199: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 18:17:22,201: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
[2025-12-25 18:17:22,204: INFO/MainProcess] Scheduler: Sending due task fine-tune-ethereum-12h (celery_tasks.fine_tune_coin)
[2025-12-25 19:35:44,870: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 20:40:35,225: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 21:36:59,725: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 21:45:00,000: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 22:13:08,628: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 22:20:39,874: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 22:36:06,052: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 23:24:16,262: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 23:41:21,380: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-25 23:41:21,388: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 23:45:00,000: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
[2025-12-25 23:45:00,007: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 00:00:00,000: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 00:15:00,000: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 01:05:37,483: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 02:15:48,512: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 03:44:41,762: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 03:45:00,000: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 05:09:05,962: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 06:02:27,090: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 06:02:27,102: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-26 06:02:27,105: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
[2025-12-26 06:02:27,108: INFO/MainProcess] Scheduler: Sending due task fine-tune-ethereum-12h (celery_tasks.fine_tune_coin)
[2025-12-26 06:38:23,264: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 06:59:45,594: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 07:00:00,000: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 07:50:23,397: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 07:50:23,405: INFO/MainProcess] Scheduler: Sending due task fine-tune-solana-daily (celery_tasks.fine_tune_coin)
[2025-12-26 09:28:56,730: INFO/MainProcess] Scheduler: Sending due task fine-tune-cardano-daily (celery_tasks.fine_tune_coin)
[2025-12-26 09:28:56,743: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 09:54:53,859: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 11:28:04,047: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 11:56:36,495: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-26 11:56:36,502: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 11:56:36,505: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
[2025-12-26 12:59:05,716: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 13:15:54,477: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 14:42:55,770: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 17:00:47,699: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 23:05:58,548: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-26 23:05:58,554: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-26 23:05:58,557: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
[2025-12-26 23:05:58,561: INFO/MainProcess] Scheduler: Sending due task fine-tune-ethereum-12h (celery_tasks.fine_tune_coin)
[2025-12-27 08:10:19,990: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-27 08:10:20,071: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-27 08:10:20,072: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
